1	225	48	1	25	7	0.2	2330	10800
2	450	50	2	13	10	0.2	2330	45000
3	110	32.5	1	90	8	1	2330	3575
4	90	32.5	1	130	8	2	2330	2925
5	130	32.5	1	65	8	0.6	2330	4225
6	450	50	2	13	20	0.2	2330	45000
7	450	45	1	6.5	10	0.02	2330	20250
8	450	50	2	13	8	0.18	2330	45000
9	450	50	2	15	10	0.2	2330	45000
10	450	50	2	13	8	0.2	2330	45000
11	450	50	2	13	10	0.2	2330	45000
12	250	35	2	40	10	0.8	2330	17500
13	350	35	2	20	10	0.3	2330	24500
14	300	35	2	30	10	0.4	2330	21000
15	250	32.5	1	20	10	0.09	2330	8125
16	350	32.5	1	10	10	0.03	2330	11375
17	300	32.5	1	14	10	0.05	2330	9750
18	500	30	2.7	15	10	0.2	2330	40500
19	210	30	2.7	80	10	2.7	2330	17010
20	500	30	3	17	7	0.3	2330	45000
21	500	30	3	17	30	0.3	2330	45000
22	450	50	2	7	10	0.2	2330	45000
23	225	45	1	8	10	0.2	2330	10125
24	225	48	1	23	7	0.2	2330	10800
25	450	50	2	13	10	0.2	2330	45000
26	225	48	1	25	10	0.2	2330	10800
27	450	50	4	27	10	1.6	2330	90000
28	225	48	1	23	10	0.2	2330	10800
29	100	40	0.5	67	10	0.48	3210	2000
30	200	40	0.5	17	10	0.06	3210	4000
